"Matricula","situacaoDisciplina","Classificao","numeroMatriculas","anoNascimento","Sexo","idGrade","idDisciplina","idSerie","EscolaridadeResponsavel","idEstadoCivilResponsavel","Total_Faltas","numeroReprovacoes","AprovacoesComExelencia"
"0030010016130259",BOM/APROVADO,111,1,2002,M,4,50,48,1,2,0,0,2
"004003019140890",BOM/APROVADO,111,1,2001,M,4,34,50,1,4,0,0,9
"004220140527",MUITO BOM/APROVADO,112,1,2006,M,4,47,48,6,1,1,5,12
"004002019130008",BOM/APROVADO,111,1,2003,F,4,49,49,6,2,0,0,3
"004002019130030",MUITO BOM/APROVADO,112,1,2003,M,4,27,49,1,1,0,0,13
"004002019140779",MUITO BOM/APROVADO,112,1,2003,F,4,59,49,2,1,0,0,13
"004220160358",APROVADO,104,1,2006,M,4,60,49,1,1,0,3,6
"004200200217",TRANSFERIDO,3,1,2003,M,4,47,49,1,2,0,0,0
"004220130065",MUITO BOM/APROVADO,112,1,2004,F,4,34,50,2,2,0,2,13
"004003019130026",MUITO BOM/APROVADO,112,1,2002,F,4,60,50,1,2,0,0,13
"004003016140930",BOM/APROVADO,111,1,2001,M,4,26,50,6,2,0,1,3
"004220220138",MUITO BOM/APROVADO,112,1,2006,M,4,59,48,1,7,0,5,6
"004002016141431",MUITO BOM/APROVADO,112,1,2002,F,4,38,49,6,4,0,1,13
"004002020130011",EXCELENTE/APROVADO,113,1,2002,F,4,3,49,6,2,0,2,13
"004002016141060",APROVADO,104,1,2002,F,4,38,49,6,2,0,0,2
"004003019141247",TRANSFERIDO,124,1,2001,M,4,34,50,6,2,0,0,0
"004003016140087",MUITO BOM/APROVADO,112,2,2000,M,4,27,50,6,2,0,1,11
"004230200227",MUITO BOM/APROVADO,112,1,2008,F,4,60,48,1,1,0,15,13
"004004180180322",APROVADO,104,1,2001,F,4,38,50,1,4,0,1,5
"004230170135",MUITO BOM/APROVADO,112,1,2007,M,4,49,49,6,2,0,13,8
"004220141003",MUITO BOM/APROVADO,112,1,2004,M,4,63,50,6,2,0,2,13
"004002019130029",MUITO BOM/APROVADO,112,1,2002,M,4,26,49,1,2,0,0,8
"004210140463",EXCELENTE/APROVADO,113,1,2003,F,4,59,50,1,2,0,1,13
"0030010020140277",MUITO BOM/APROVADO,112,1,2005,M,4,63,48,6,2,0,2,13
